Practice Dimension,What a 5 looks like,Q1 Date: ____,Q2 Date: ____,Q3 Date: ____,Q4 Date: ____,Q5 Date: ____,Q6 Date: ____,Q7 Date: ____,Q8 Date: ____
Briefing,"I brief with objective/context/constraints/format/success rather than prompting raw",,,,,,,,
Memory & Infrastructure,"My context is hardened into files/projects/SOPs, not retyped each session",,,,,,,,
Verification,"My checking matches the stakes; high-stakes outputs get Due Diligence",,,,,,,,
Voice,"My AI-assisted output still reads as mine, checked against my anchors",,,,,,,,
Range,"I apply this across many tasks, not just one or two comfort zones",,,,,,,,
,,,,,,,,,
AVERAGE (=average of the 5 above),,,,,,,,,
,,,,,,,,,
Two lowest dimensions this quarter,,,,,,,,,
Focus action for lowest #1,,,,,,,,,
Focus action for lowest #2,,,,,,,,,
Infrastructure flagged outdated or missing,,,,,,,,,
Next audit date (schedule now),,,,,,,,,
