category,name,tags,prompt
Communication,Executive Update Email,communication; rtc,"Act as a senior communications advisor. Write a brief email from a [role, e.g., VP of Product] to the executive team summarizing the status of [project name]. The update should cover: what was completed this week, what's coming next week, and one risk or open question that needs leadership visibility. Tone: confident and direct. Under 200 words. No bullet points, prose only."
Communication,Stakeholder Briefing,communication; rtc,"Act as a senior analyst preparing a briefing document. The audience is [describe stakeholders, e.g., board members unfamiliar with operations]. The topic is [describe the issue or decision]. Write a one-page briefing: problem statement (2 sentences), current status (3 to 4 sentences), options being considered (bullet list, max three), and recommended next step (1 to 2 sentences). Plain language only, no jargon."
Communication,Conflict De-escalation Email,communication; rtc,"Act as a professional mediator who specializes in written communication. Rewrite the following email to remove emotional charge while preserving the core message. The recipient should understand the concern clearly but not feel accused. The tone should be professional and collaborative. Do not soften the request, maintain its directness. [Paste original email below.]"
Communication,Meeting Follow-Up,communication; rtc,"Act as a senior project coordinator. Write a follow-up email summarizing the key decisions and action items from today's meeting on [topic]. Attendees included [list roles, not names]. Format: brief paragraph recap, then a numbered list of action items with owner role and due date. Close with the date of the next touchpoint. Under 250 words."
Communication,Decline or Pushback Message,communication; rtc,"Act as a senior professional with strong written communication skills. Write a message declining [request or proposal] in a way that: explains the reasoning briefly without over-justifying, leaves the relationship intact, and optionally suggests an alternative if one exists. Tone should be firm but respectful. The recipient is [describe relationship, e.g., a peer, a client, a vendor]. Under 150 words."
Analysis and Research,Competitive Landscape Brief,analysis and research; rtc,"Act as a market analyst. Summarize the competitive landscape for [product/service category] targeting [customer segment]. Focus on: the top three to five players by market presence, how pricing is structured, and what one or two features are becoming table stakes. Flag any information that may be outdated, I'll verify separately. Under 500 words."
Analysis and Research,Risk Assessment,analysis and research; rtc,"Act as a risk manager with experience in [industry]. Identify the top five risks associated with [decision or initiative]. For each risk: name it, rate the likelihood (low/medium/high), rate the impact (low/medium/high), and suggest one mitigation action. Present as a table. Do not include risks that are implausible or highly unlikely, focus on what a reasonable decision-maker would actually need to prepare for."
Analysis and Research,Data Interpretation,analysis and research; rtc,"Act as a senior analyst. I'm pasting a summary of [data type, e.g., quarterly sales figures, survey results]. Interpret what the data is showing: focus on trends, anomalies, and anything that contradicts the expected pattern. Do not simply restate the numbers. Draw three interpretive conclusions a decision-maker would find useful. Flag any conclusion that requires additional data to confirm."
Analysis and Research,Options Comparison,analysis and research; rtc,"Act as a strategic advisor. I need to compare [Option A] and [Option B] for [decision context]. Evaluate both options across these dimensions: [list 3 to 4 dimensions, e.g., cost, time to implement, risk, team impact]. Present as a comparison table followed by a two-sentence summary of where each option wins. Do not recommend one yet. This is the analysis step."
Analysis and Research,Literature / Research Digest,analysis and research; rtc,"Act as a research analyst. I'm going to paste [number] articles / excerpts on the topic of [topic]. Synthesize the key arguments across all sources. Identify: the main point of agreement, the main point of disagreement, and one question the research does not yet answer. Under 400 words. Do not cite sources by name unless I've provided citations, use ""Source A,"" ""Source B,"" etc."
Writing and Editing,First Draft from Notes,writing and editing; rtc,"Act as a professional business writer. I'm going to paste rough notes on [topic]. Transform these notes into a polished first draft suitable for [audience, e.g., an internal report, a client-facing document]. Maintain all the factual content from my notes. Improve structure, transitions, and sentence clarity. Flag any section where my notes were unclear and you made an interpretive decision."
Writing and Editing,Structural Edit,writing and editing; rtc,"Act as a structural editor. Review the following [document type] for logic and flow. Identify: any section that repeats a point made earlier, any argument that appears before its supporting evidence, and any section that could be cut without losing the core message. Do not rewrite, just give me your structural diagnosis as a numbered list of observations."
Writing and Editing,Tone Calibration,writing and editing; rtc,"Act as a professional editor. Rewrite the following passage so the tone matches [target: e.g., authoritative but approachable, urgent but not alarmist, direct without being blunt]. Keep the meaning intact. Note any sentence where you changed the meaning, flag it with [CHANGED] so I can review."
Writing and Editing,Executive Summary,writing and editing; rtc,"Act as a senior analyst. Write an executive summary of the following [document type]. The reader is [describe: role, familiarity with topic, time available, e.g., ""a CFO with five minutes""]. Structure: problem or context (1 to 2 sentences), key findings (3 bullets), and recommended action (1 to 2 sentences). Under 200 words."
Writing and Editing,Plain Language Rewrite,writing and editing; rtc,Act as a plain language editor. Rewrite the following passage for an audience with no specialized knowledge of [field]. Replace all jargon with plain equivalents. Cut sentences longer than 20 words in half where possible. The reader should be able to understand the core point without looking anything up. Flag any term you couldn't simplify without losing precision.
Planning and Strategy,Project Kickoff Agenda,planning and strategy; rtc,"Act as a seasoned project manager. Create an agenda for a 60-minute project kickoff meeting for [project description]. The team includes [list roles]. Goals for the kickoff: align on scope, identify the top three risks, and assign initial owners. Format: time-blocked agenda with 5-minute transitions, including who leads each section. Close with a 10-minute Q&A block."
